Compound_ID,SMILES,IC50_nM,pActivity,Measurements,Sources,Scaffold
BCRABL_002093,O=C(N/N=C1\S/C(=C\c2ccc(F)cc2)C(=O)N1c1ccccc1Cl)c1cc2ccccc2oc1=O,90.0,7.045757490560675,1,BindingDB,O=C(NN=C1SC(=Cc2ccccc2)C(=O)N1c1ccccc1)c1cc2ccccc2oc1=O
BCRABL_002094,O=C(N/N=C1\S/C(=C\c2ccc(F)cc2)C(=O)N1c1ccc(Cl)cc1)c1cc2ccccc2oc1=O,90.0,7.045757490560675,1,BindingDB,O=C(NN=C1SC(=Cc2ccccc2)C(=O)N1c1ccccc1)c1cc2ccccc2oc1=O
BCRABL_002095,COc1ccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)cc1,90.0,7.045757490560675,1,BindingDB,O=C(NN=C1SC(=Cc2ccccc2)C(=O)N1c1ccccc1)c1cc2ccccc2oc1=O
BCRABL_002096,CS(=O)(=O)N1CCC(n2nc(Cc3cccc4ccccc34)c3c(N)ncnc32)CC1,90.0,7.045757490560675,1,BindingDB,c1ccc2c(Cc3nn(C4CCNCC4)c4ncncc34)cccc2c1
BCRABL_002097,Cc1ccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)cc1C,90.0,7.045757490560675,1,BindingDB,O=C(NN=C1SC(=Cc2ccccc2)C(=O)N1c1ccccc1)c1cc2ccccc2oc1=O
BCRABL_002098,Cc1ccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)cc1,90.0,7.045757490560675,1,BindingDB,O=C(NN=C1SC(=Cc2ccccc2)C(=O)N1c1ccccc1)c1cc2ccccc2oc1=O
BCRABL_002099,Cc1ccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)c(C)c1,90.0,7.045757490560675,1,BindingDB,O=C(NN=C1SC(=Cc2ccccc2)C(=O)N1c1ccccc1)c1cc2ccccc2oc1=O
BCRABL_002100,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CN(CC(=O)O)Cc2ccccn2)cc1,90.0,7.045757490560675,1,BindingDB,c1ccc(-c2nc(CCOc3ccc(CNCc4ccccn4)cc3)co2)cc1
BCRABL_002101,COc1ccccc1N1C(=O)/C(=C/c2ccc(F)cc2)S/C1=N\NC(=O)c1cc2ccccc2oc1=O,90.0,7.045757490560675,1,BindingDB,O=C(NN=C1SC(=Cc2ccccc2)C(=O)N1c1ccccc1)c1cc2ccccc2oc1=O
BCRABL_002102,CN1CCN(c2ccc(Nc3nc(Nc4ccccc4)c4ncn(CC5CC5)c4n3)cc2)CC1,90.0,7.045757490560675,1,BindingDB,c1ccc(Nc2nc(Nc3ccc(N4CCNCC4)cc3)nc3c2ncn3CC2CC2)cc1
